School Name,Area Type,Gender,Caste,Standard,Age,Year,District,Dropout Status,Dropout Reason,Parental_Education,Family_Income,Prev_Academic_Performance,Attendance_Record,Teacher_Student_Ratio,Distance_km
PES Public School,Semi-Urban,Female,ST,1,6,2023,Shivamogga,Enrolled,Not applicable,Primary,25000,67.74,100.0,38.0,0.68
Sri Taralabalu Central School,Semi-Urban,Male,ST,7,12,2020,Dakshina Kannada,Enrolled,Not applicable,Post-Graduate,10000,67.74,90.125,35.4,0.33
Mount Litera Zee School,Urban,Male,General,6,11,2020,Tumakuru,Dropout,Lack of interest,Higher Secondary,60000,52.757,76.32,28.6,1.48
PES Public School,Urban,Female,OBC,3,8,2021,Shivamogga,Dropout,Lack of interest,Secondary,15000,52.757,79.65,20.2,0.13
Sri Taralabalu Central School,Urban,Female,ST,1,6,2022,Ballari,Dropout,Health issues,Primary,15000,52.757,58.64,34.9,0.35
Jain International School,Urban,Female,OBC,10,15,2023,Dakshina Kannada,Dropout,Health issues,Primary,10000,47.95,79.65,28.6,2.44
New Oxford School,Urban,Male,SC,9,14,2022,Ballari,Dropout,Migration,No Schooling,10000,52.757,79.65,42.0,2.34
Freedom International School,Semi-Urban,Male,ST,8,13,2018,Belagavi,Enrolled,Not applicable,Graduate,15000,67.74,94.24,20.7,2.75
National Public School,Rural,Female,ST,8,13,2020,Udupi,Dropout,Family responsibilities,Secondary,50000,52.757,74.86,37.5,3.32
Delhi Public School,Urban,Female,General,9,14,2023,Belagavi,Enrolled,Not applicable,Higher Secondary,10000,67.74,90.125,48.2,2.08
Assisi Central School,Urban,Male,ST,2,7,2020,Tumakuru,Dropout,Other,No Schooling,50000,23.64,75.75,25.2,0.25
Freedom International School,Rural,Female,ST,10,15,2024,Dakshina Kannada,Enrolled,Not applicable,Post-Graduate,100000,73.26,90.125,34.1,9.35
Sri Taralabalu Central School,Urban,Female,General,1,6,2022,Bengaluru Urban,Enrolled,Not applicable,Higher Secondary,60000,71.05,90.125,22.7,2.55
Assisi Central School,Semi-Urban,Male,General,1,6,2021,Bengaluru Rural,Dropout,Lack of interest,Primary,25000,52.757,79.65,38.8,2.42
National Public School,Semi-Urban,Male,General,10,15,2022,Dharwad,Dropout,Family responsibilities,Primary,15000,52.757,75.04,36.5,1.57
Freedom International School,Semi-Urban,Male,SC,1,6,2021,Bengaluru Urban,Dropout,Lack of interest,Primary,60000,52.757,79.65,32.2,0.78
Delhi Public School,Semi-Urban,Male,ST,4,9,2022,Ballari,Enrolled,Not applicable,Primary,25000,67.74,93.58,35.6,2.55
Maharishi Public School,Semi-Urban,Female,ST,8,13,2024,Shivamogga,Enrolled,Not applicable,Secondary,10000,67.74,90.125,46.9,2.21
New Oxford School,Semi-Urban,Male,General,8,13,2023,Udupi,Enrolled,Not applicable,Secondary,60000,71.91,90.125,25.9,2.94
Freedom International School,Rural,Male,ST,8,13,2018,Shivamogga,Dropout,Poverty,Primary,25000,41.19,70.51,20.7,6.8
Jain International School,Urban,Female,ST,7,12,2018,Udupi,Dropout,Financial hardship,Secondary,10000,52.757,79.65,45.8,0.75
Sri Taralabalu Central School,Semi-Urban,Male,ST,6,11,2023,Dakshina Kannada,Enrolled,Not applicable,No Schooling,50000,67.74,90.125,37.3,0.71
Freedom International School,Urban,Male,SC,1,6,2022,Bengaluru Urban,Enrolled,Not applicable,Primary,60000,67.74,100.0,46.7,2.4
Freedom International School,Rural,Female,OBC,1,6,2022,Dharwad,Enrolled,Not applicable,Primary,100000,67.74,90.125,37.9,5.13
Delhi Public School,Rural,Female,SC,6,11,2022,Tumakuru,Enrolled,Not applicable,Secondary,60000,67.74,99.64,44.3,5.76
Delhi Public School,Rural,Male,ST,9,14,2018,Dakshina Kannada,Enrolled,Not applicable,Higher Secondary,10000,77.47,94.97,32.9,1.31
PES Public School,Semi-Urban,Male,General,7,12,2021,Mysuru,Enrolled,Not applicable,Primary,60000,67.74,90.125,42.5,0.17
Freedom International School,Semi-Urban,Male,ST,4,9,2022,Tumakuru,Enrolled,Not applicable,Secondary,15000,67.74,100.0,47.4,2.52
National Public School,Urban,Male,SC,3,8,2023,Udupi,Enrolled,Not applicable,Secondary,50000,67.74,90.125,37.2,1.16
Sri Taralabalu Central School,Urban,Female,General,2,7,2023,Udupi,Enrolled,Not applicable,No Schooling,15000,77.23,90.125,25.4,2.54
New Oxford School,Semi-Urban,Female,ST,1,6,2023,Shivamogga,Dropout,Bullying,Secondary,25000,44.76,79.65,28.1,1.71
Assisi Central School,Rural,Male,OBC,1,6,2023,Mysuru,Enrolled,Not applicable,Primary,10000,67.74,97.24,26.0,2.2
Assisi Central School,Rural,Female,General,3,8,2024,Shivamogga,Enrolled,Not applicable,No Schooling,50000,67.74,95.96,27.4,7.22
PES Public School,Rural,Female,ST,10,15,2018,Tumakuru,Dropout,Child Labour,Graduate,25000,52.757,78.74,29.2,8.16
Jain International School,Semi-Urban,Male,General,3,8,2023,Bengaluru Rural,Enrolled,Not applicable,Post-Graduate,25000,67.74,90.125,36.7,0.32
Assisi Central School,Semi-Urban,Female,SC,5,10,2021,Shivamogga,Enrolled,Not applicable,Higher Secondary,10000,67.74,90.125,37.6,0.83
Maharishi Public School,Urban,Female,OBC,2,7,2022,Tumakuru,Dropout,Other,Primary,50000,47.59,77.0,32.8,2.04
Delhi Public School,Urban,Female,SC,8,13,2018,Belagavi,Enrolled,Not applicable,No Schooling,15000,67.74,90.125,38.5,2.68
Maharishi Public School,Urban,Female,ST,10,15,2020,Bengaluru Rural,Dropout,Health issues,Higher Secondary,25000,43.92,79.65,22.4,1.43
Mount Litera Zee School,Rural,Female,ST,10,15,2019,Bengaluru Rural,Dropout,Lack of interest,Secondary,50000,16.18,79.65,22.6,5.21
Freedom International School,Urban,Female,General,5,10,2022,Ballari,Enrolled,Not applicable,No Schooling,10000,67.74,90.125,25.2,0.65
PES Public School,Urban,Male,General,3,8,2020,Shivamogga,Dropout,Family responsibilities,Secondary,15000,52.757,79.65,35.5,2.43
National Public School,Rural,Male,ST,9,14,2024,Ballari,Dropout,Long distance to school,No Schooling,50000,24.56,79.65,26.4,8.81
National Public School,Rural,Male,OBC,7,12,2019,Bengaluru Urban,Dropout,Child Labour,Graduate,10000,44.85,62.53,28.5,8.45
Jain International School,Semi-Urban,Male,SC,10,15,2021,Udupi,Enrolled,Not applicable,Primary,60000,69.29,90.125,32.0,1.53
Maharishi Public School,Rural,Female,SC,5,10,2021,Bengaluru Urban,Dropout,Bullying,Higher Secondary,10000,52.757,79.65,44.4,1.68
National Public School,Rural,Male,OBC,4,9,2024,Udupi,Dropout,Bullying,Primary,50000,52.757,79.65,20.4,2.01
PES Public School,Semi-Urban,Male,SC,2,7,2022,Tumakuru,Enrolled,Not applicable,Secondary,25000,67.74,90.125,39.5,1.56
Freedom International School,Rural,Female,OBC,7,12,2018,Ballari,Dropout,Other,Secondary,60000,52.757,66.23,40.1,3.32
New Oxford School,Urban,Female,ST,1,6,2020,Ballari,Dropout,Family Issues,Primary,25000,52.757,79.65,44.0,1.38
Freedom International School,Rural,Male,General,6,11,2024,Dharwad,Enrolled,Not applicable,Post-Graduate,60000,67.74,90.125,48.0,3.34
Freedom International School,Urban,Female,ST,7,12,2021,Tumakuru,Enrolled,Not applicable,Higher Secondary,10000,67.74,90.125,20.6,1.61
PES Public School,Semi-Urban,Female,ST,2,7,2020,Dharwad,Dropout,Poverty,Graduate,60000,52.757,78.76,24.6,1.8
PES Public School,Semi-Urban,Female,SC,10,15,2019,Tumakuru,Dropout,Lack of interest,Graduate,15000,45.7,79.65,46.6,0.12
New Oxford School,Urban,Female,General,9,14,2018,Bengaluru Rural,Dropout,Migration,Secondary,100000,52.757,78.95,33.8,2.31
Assisi Central School,Urban,Female,SC,2,7,2019,Mysuru,Enrolled,Not applicable,Graduate,50000,84.37,90.125,36.9,2.17
Jain International School,Semi-Urban,Male,SC,1,6,2021,Belagavi,Enrolled,Not applicable,No Schooling,15000,67.74,93.97,39.9,1.16
PES Public School,Rural,Male,ST,8,13,2021,Tumakuru,Enrolled,Not applicable,Primary,50000,67.74,97.75,40.4,7.62
Mount Litera Zee School,Rural,Female,General,1,6,2020,Mysuru,Dropout,Migration,No Schooling,10000,52.757,79.65,48.0,3.48
Mount Litera Zee School,Rural,Male,ST,4,9,2022,Shivamogga,Dropout,Other,Primary,10000,36.55,73.62,49.9,6.75
New Oxford School,Semi-Urban,Female,ST,8,13,2020,Bengaluru Urban,Dropout,Lack of interest,Primary,60000,52.757,79.65,41.6,0.8
PES Public School,Urban,Male,ST,8,13,2022,Tumakuru,Dropout,Migration,Primary,100000,52.757,79.65,28.6,1.04
Assisi Central School,Urban,Male,ST,1,6,2018,Udupi,Dropout,Child Labour,Higher Secondary,15000,52.757,79.65,46.4,0.63
PES Public School,Urban,Female,OBC,3,8,2018,Mysuru,Enrolled,Not applicable,Primary,50000,100.0,91.68,21.5,1.77
Maharishi Public School,Urban,Male,General,2,7,2018,Dakshina Kannada,Dropout,Migration,Primary,50000,52.757,77.66,26.9,0.55
National Public School,Rural,Male,SC,5,10,2018,Ballari,Enrolled,Not applicable,Secondary,15000,67.74,90.125,46.9,1.22
Assisi Central School,Semi-Urban,Female,General,3,8,2018,Mysuru,Dropout,Long distance to school,No Schooling,50000,52.757,79.65,27.7,2.12
Delhi Public School,Urban,Female,SC,10,15,2018,Mysuru,Enrolled,Not applicable,Higher Secondary,25000,77.23,99.56,26.6,1.72
Mount Litera Zee School,Rural,Female,OBC,6,11,2020,Belagavi,Dropout,Poverty,No Schooling,50000,52.757,79.65,24.1,8.53
Freedom International School,Rural,Female,OBC,9,14,2024,Ballari,Enrolled,Not applicable,Post-Graduate,50000,67.74,92.89,45.8,9.77
Maharishi Public School,Urban,Male,General,6,11,2018,Dakshina Kannada,Dropout,Migration,Higher Secondary,50000,52.757,79.65,35.0,1.73
Jain International School,Semi-Urban,Male,OBC,7,12,2024,Mysuru,Dropout,Lack of interest,Primary,50000,49.98,79.65,40.2,0.12
Jain International School,Rural,Female,OBC,9,14,2022,Udupi,Enrolled,Not applicable,No Schooling,25000,88.1,90.125,27.2,8.4
National Public School,Urban,Female,SC,7,12,2023,Bengaluru Urban,Dropout,Financial hardship,Higher Secondary,25000,52.757,76.39,42.7,2.66
PES Public School,Semi-Urban,Male,ST,9,14,2023,Udupi,Dropout,Lack of interest,Higher Secondary,100000,52.757,79.65,42.8,0.33
PES Public School,Rural,Female,General,1,6,2023,Dharwad,Dropout,Health issues,Higher Secondary,50000,52.757,79.65,29.4,2.16
Sri Taralabalu Central School,Semi-Urban,Male,SC,10,15,2019,Shivamogga,Dropout,Family responsibilities,Higher Secondary,50000,52.757,79.65,32.3,2.77
Freedom International School,Rural,Female,OBC,3,8,2023,Ballari,Enrolled,Not applicable,No Schooling,10000,72.79,90.125,26.3,9.84
Maharishi Public School,Semi-Urban,Male,OBC,9,14,2023,Belagavi,Enrolled,Not applicable,Primary,50000,67.74,90.125,49.3,1.17
New Oxford School,Rural,Female,SC,1,6,2024,Bengaluru Rural,Enrolled,Not applicable,No Schooling,60000,67.74,90.125,39.4,4.95
New Oxford School,Urban,Female,SC,3,8,2022,Dakshina Kannada,Dropout,Other,Graduate,15000,50.35,79.65,48.0,2.66
Jain International School,Rural,Female,OBC,1,6,2019,Shivamogga,Dropout,Family Issues,Secondary,25000,52.757,79.65,29.1,4.26
Mount Litera Zee School,Semi-Urban,Female,General,3,8,2023,Belagavi,Dropout,Child Labour,Primary,50000,52.757,79.65,43.5,2.24
Assisi Central School,Urban,Male,ST,5,10,2022,Belagavi,Enrolled,Not applicable,No Schooling,60000,67.74,95.72,43.0,0.35
Maharishi Public School,Urban,Male,ST,10,15,2024,Shivamogga,Enrolled,Not applicable,Primary,60000,67.74,90.125,40.7,2.04
National Public School,Urban,Female,SC,6,11,2018,Dharwad,Enrolled,Not applicable,Primary,10000,67.74,94.41,49.0,1.29
Maharishi Public School,Rural,Male,ST,2,7,2021,Mysuru,Dropout,Other,Higher Secondary,10000,52.757,74.67,31.8,4.84
PES Public School,Semi-Urban,Male,General,4,9,2024,Tumakuru,Enrolled,Not applicable,Secondary,25000,67.74,90.125,23.9,0.24
Mount Litera Zee School,Urban,Female,OBC,2,7,2020,Ballari,Dropout,Financial hardship,Graduate,100000,52.757,79.65,40.2,0.65
Assisi Central School,Urban,Male,OBC,4,9,2022,Bengaluru Rural,Dropout,Child Labour,Secondary,50000,52.757,79.65,41.9,2.39
Assisi Central School,Semi-Urban,Female,OBC,4,9,2021,Tumakuru,Enrolled,Not applicable,No Schooling,60000,67.74,90.125,37.3,1.42
PES Public School,Urban,Male,OBC,7,12,2021,Belagavi,Enrolled,Not applicable,Higher Secondary,10000,67.74,90.125,26.2,0.97
Freedom International School,Semi-Urban,Male,General,5,10,2020,Udupi,Dropout,Financial hardship,Higher Secondary,10000,44.06,74.1,35.1,1.21
Maharishi Public School,Urban,Male,General,7,12,2019,Shivamogga,Enrolled,Not applicable,Secondary,10000,67.74,90.125,29.4,2.58
Delhi Public School,Semi-Urban,Female,SC,7,12,2024,Udupi,Enrolled,Not applicable,Higher Secondary,50000,67.74,90.125,32.8,2.27
National Public School,Urban,Male,General,9,14,2021,Dharwad,Enrolled,Not applicable,Secondary,25000,74.79,90.125,39.4,0.89
Delhi Public School,Rural,Male,General,8,13,2023,Dakshina Kannada,Dropout,Family responsibilities,Secondary,50000,52.757,79.65,42.4,4.2
National Public School,Urban,Male,General,5,10,2018,Belagavi,Dropout,Child Labour,Secondary,25000,52.757,79.65,27.0,0.83
Freedom International School,Urban,Male,SC,9,14,2020,Bengaluru Urban,Dropout,Financial hardship,No Schooling,15000,52.757,75.92,32.2,2.77
Sri Taralabalu Central School,Urban,Female,ST,7,12,2020,Dakshina Kannada,Enrolled,Not applicable,No Schooling,50000,67.74,100.0,28.1,1.79
Delhi Public School,Urban,Male,General,1,6,2021,Udupi,Dropout,Poverty,No Schooling,25000,52.757,79.65,26.0,1.65
Maharishi Public School,Rural,Male,General,9,14,2022,Mysuru,Enrolled,Not applicable,Secondary,100000,67.74,95.31,43.5,3.84
National Public School,Rural,Male,OBC,6,11,2020,Ballari,Dropout,Bullying,Primary,60000,52.757,78.42,47.3,2.13
Jain International School,Urban,Male,OBC,9,14,2023,Ballari,Enrolled,Not applicable,Secondary,60000,67.74,93.55,31.1,2.44
Jain International School,Rural,Female,SC,6,11,2023,Dakshina Kannada,Enrolled,Not applicable,Graduate,100000,67.74,90.125,42.5,1.36
New Oxford School,Semi-Urban,Male,SC,4,9,2022,Dakshina Kannada,Dropout,Long distance to school,Primary,25000,52.757,79.65,46.9,0.44
Jain International School,Urban,Female,OBC,4,9,2018,Dharwad,Dropout,Poverty,Secondary,50000,44.9,79.65,45.4,0.47
Assisi Central School,Urban,Male,General,2,7,2023,Tumakuru,Enrolled,Not applicable,Higher Secondary,15000,77.1,90.53,25.5,1.66
Freedom International School,Urban,Male,ST,8,13,2018,Dakshina Kannada,Enrolled,Not applicable,Primary,10000,79.76,90.125,48.7,2.82
Assisi Central School,Urban,Male,SC,5,10,2019,Udupi,Enrolled,Not applicable,No Schooling,25000,67.74,90.125,31.3,0.99
Sri Taralabalu Central School,Urban,Female,ST,3,8,2024,Shivamogga,Dropout,Long distance to school,Primary,15000,28.17,79.65,30.2,2.62
PES Public School,Rural,Female,OBC,10,15,2019,Bengaluru Urban,Enrolled,Not applicable,Primary,50000,67.74,90.125,21.9,7.04
Delhi Public School,Rural,Female,OBC,3,8,2019,Udupi,Dropout,Family responsibilities,Graduate,50000,52.757,79.65,34.6,8.39
Maharishi Public School,Urban,Male,OBC,6,11,2023,Belagavi,Dropout,Other,Higher Secondary,10000,52.757,71.33,23.3,0.21
Delhi Public School,Rural,Male,SC,10,15,2022,Bengaluru Urban,Dropout,Lack of interest,Secondary,10000,45.01,79.65,27.5,4.79
Freedom International School,Semi-Urban,Male,OBC,5,10,2020,Dharwad,Dropout,Other,Graduate,10000,52.43,72.67,29.5,2.21
Assisi Central School,Rural,Female,General,10,15,2023,Shivamogga,Enrolled,Not applicable,Higher Secondary,25000,72.61,90.52,44.3,8.89
Assisi Central School,Rural,Female,SC,9,14,2019,Dakshina Kannada,Dropout,Lack of interest,Primary,60000,52.757,79.65,46.3,3.19
New Oxford School,Rural,Male,OBC,9,14,2019,Mysuru,Dropout,Health issues,Graduate,50000,52.757,78.03,29.1,5.96
